ID;description
3000379;EXCAVADORA TIPO CAT-320
3000380;HORAS EXTRAS AL 50% - NOVATIUM
3000381;TRANSMISION DATOS WITS
3000382;OCUPACIONAL OP 3
3000383;SERVICIOS METALURGICOS Y ZINGUERIA
3000384;OTROS REEMBOLSABLES
3000385;ALQUILER DE BANDEJA DE PERFORACION DAT
3000386;TELAS DE ZARANDA MESH 165
3000387;PROTECTOR DE CAPILAR
3000388;CABEZA ROTATIAVA 2.5 TARIFA
3000389;AUTOELEVADOR 4 TN CON OPERADOR
3000390;SERVICIO BASICO 12 CONTENEDORES C/CAMION
3000391;TARIFA HORA OPERATIVA STACK BOP 10 KPSI
3000392;SERVICIO DE HERRAMIENTAS Y PESCA
3000393;% AGUA LIBRE
3000394;% AGUA Y SEDIMENTOS
3000395;CONCENTRACION CLORUROS
3000396;CALIBRACION DE ROSEMOUNT 3095
3000397;MUESTREOS KM RECORRIDO
3000398;REPARACION MAYOR DE BOMBA CON REPUESTOS
3000399;DIA DE INGENIERO SEMI SENIOR
3000400;PROVISION SOPORTE PARA RADIO M216
3000401;SERVICIO ASISTENCIA TECNICA
3000402;CONSTRUCCION DE LOCACION TIPO 965-12-2NQ
3000403;MOVIMIENTO DE SUELO ADICIONAL
3000404;CONTROL DE PLAGAS - EMC-08 - EMC-09
3000405;RODILLO VIBROCOMPACTADOR
3000406;CAMION REGADOR 35 M3
3000407;PROVISION RESORTE ANTENA CROMADO 5MM
3000408;SERVICIO DE GRUAS EN GENERAL
3000409;SERVICIO MTO CASAS CATRIEL HORAS 50%
3000410;SERVICIO DE ASESORAMIENTO PULLING
3000411;AYUDANTE MECANICO MOTORES Y COMPRESORES
3000412;CARRETON 40 TN
3000413;GASTOS VARIOS
3000414;COPIAS EXCEDENTES COLOR
3000415;SERVICIO MTO CASAS CATRIEL MENSUAL
3000416;SERVICIO COMEDOR Y LIMPIEZA
3000417;FERRETERIA
3000418;SERVICIO DESAYUNO
3000419;SERVICIO CANASTAS
3000420;VIANDA ALMUERZO-CENA
3000421;DOSAJE DE ALCOHOL EN ORINA
3000422;EB-1595 - DESEMULSIONANTE PTL
3000423;Hora adicional Hidrolavado
3000424;OFICIAL MECANICO MOTORES Y COMPRESORES
3000425;VISADO EXAMENES SUBSECRETARIA TRABAD
3000426;TELAS DE ZARANDA MESH 200
3000427;PLANTA TRATAMIENTO DE EFLUENTE
3000428;RECUPERADOR (CHUPA) 35M3 - 24HS ON CALL
3000429;HORA STAND BY EN LOCACION
3000430;METRO ADICIONAL
3000431;CARGO POR SUPERVISOR (MAX. 12 HS)
3000432;MISCELANEOS DE INSTALACION
3000433;REPARACION INTEGRAL DE AEROENFRIADOR
3000434;CONTROL DE PLAGAS - BATERIA 1CHDP
3000435;CONTROL DE PLAGAS - SET 4
